CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Salary,City,CIBIL,Risk
0_to_200,29,credits_paid_to_date,furniture,3705,less_100,less_1,3,female,co-applicant,3,car_other,44,none,own,1,skilled,1,none,yes,5748,Metro,833,No Risk
greater_200,4,all_credits_paid_back,car_new,2407,less_100,1_to_4,3,female,none,2,car_other,52,none,own,1,skilled,2,yes,yes,7595,Non-Metro,844,No Risk
no_checking,33,all_credits_paid_back,furniture,3810,100_to_500,less_1,2,female,co-applicant,4,savings_insurance,35,none,own,1,skilled,1,none,yes,3532,Non-Metro,743,Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,26,none,own,1,skilled,1,none,yes,7600,Metro,810,No Risk
no_checking,39,prior_payments_delayed,repairs,7150,500_to_1000,4_to_7,3,male,co-applicant,4,unknown,52,none,own,2,skilled,1,yes,yes,7933,Non-Metro,712,Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,real_estate,28,none,own,1,skilled,1,none,yes,7339,Metro,831,No Risk
less_0,13,all_credits_paid_back,vacation,2317,less_100,less_1,2,female,none,2,savings_insurance,27,stores,own,2,skilled,1,none,yes,7269,Metro,851,No Risk
0_to_200,15,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,3,male,none,2,savings_insurance,24,none,own,2,skilled,2,yes,yes,7025,Metro,878,No Risk
0_to_200,16,prior_payments_delayed,car_new,5551,100_to_500,1_to_4,3,male,none,3,car_other,34,none,rent,2,management_self-employed,1,none,yes,6150,Metro,886,No Risk
no_checking,34,prior_payments_delayed,furniture,6063,unknown,1_to_4,4,male,none,5,car_other,40,none,own,2,skilled,1,none,yes,3523,Metro,819,No Risk
less_0,13,all_credits_paid_back,radio_tv,1045,100_to_500,less_1,2,female,none,1,real_estate,24,none,rent,1,skilled,1,none,yes,6796,Metro,878,No Risk
less_0,15,credits_paid_to_date,vacation,250,less_100,4_to_7,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,6682,Non-Metro,884,No Risk
0_to_200,33,credits_paid_to_date,repairs,3946,less_100,4_to_7,2,female,none,2,car_other,33,stores,own,1,unskilled,1,none,yes,5255,Metro,873,No Risk
less_0,23,prior_payments_delayed,car_used,250,greater_1000,1_to_4,2,male,none,3,real_estate,19,stores,rent,1,skilled,1,none,yes,6154,Metro,701,No Risk
less_0,9,prior_payments_delayed,furniture,292,less_100,less_1,2,female,none,3,car_other,51,none,rent,1,skilled,1,none,yes,7295,Non-Metro,747,No Risk
no_checking,10,prior_payments_delayed,radio_tv,4312,100_to_500,less_1,3,female,none,3,car_other,38,none,own,1,skilled,2,yes,yes,3697,Metro,846,No Risk
no_checking,25,outstanding_credit,radio_tv,6945,500_to_1000,1_to_4,4,female,none,4,unknown,46,none,own,1,management_self-employed,1,yes,yes,3214,Non-Metro,700,Risk
no_checking,20,prior_payments_delayed,appliances,2827,unknown,4_to_7,3,male,co-applicant,3,savings_insurance,31,none,own,1,skilled,1,none,yes,7826,Metro,856,No Risk
no_checking,26,prior_payments_delayed,appliances,4391,500_to_1000,greater_7,4,female,none,3,car_other,39,stores,own,2,unskilled,2,yes,yes,4707,Non-Metro,734,Risk
less_0,21,prior_payments_delayed,car_used,319,100_to_500,greater_7,3,male,none,3,savings_insurance,32,none,rent,1,skilled,1,none,yes,3278,Non-Metro,899,Risk
0_to_200,28,credits_paid_to_date,furniture,3519,less_100,4_to_7,4,male,none,2,savings_insurance,39,none,own,1,skilled,1,yes,yes,5831,Metro,815,No Risk
0_to_200,7,credits_paid_to_date,car_new,250,less_100,less_1,1,female,none,2,real_estate,31,none,own,1,skilled,1,none,yes,5760,Metro,886,No Risk
less_0,15,prior_payments_delayed,car_used,1420,100_to_500,4_to_7,2,male,none,3,car_other,35,stores,rent,1,skilled,1,none,yes,3646,Non-Metro,861,No Risk
greater_200,14,prior_payments_delayed,car_new,1683,100_to_500,1_to_4,3,male,co-applicant,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,6916,Metro,813,No Risk
no_checking,28,outstanding_credit,car_used,4904,500_to_1000,1_to_4,2,male,none,3,car_other,40,none,own,1,skilled,2,yes,yes,4452,Metro,709,Risk
no_checking,28,prior_payments_delayed,repairs,3789,100_to_500,4_to_7,4,male,none,4,car_other,29,none,own,2,skilled,1,none,yes,5178,Metro,833,Risk
no_checking,64,outstanding_credit,retraining,9918,unknown,4_to_7,6,male,co-applicant,5,unknown,49,none,free,2,skilled,2,yes,yes,4934,Metro,746,Risk
0_to_200,6,all_credits_paid_back,car_used,3115,less_100,1_to_4,2,female,co-applicant,2,real_estate,27,none,own,1,skilled,1,none,yes,4407,Non-Metro,887,Risk
less_0,10,all_credits_paid_back,car_new,1400,less_100,less_1,1,female,none,1,car_other,28,stores,own,1,skilled,1,none,yes,7171,Metro,827,No Risk
0_to_200,7,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,1,real_estate,22,none,rent,1,skilled,1,none,yes,6514,Metro,880,No Risk
no_checking,31,prior_payments_delayed,furniture,7685,100_to_500,4_to_7,4,male,none,4,unknown,51,none,free,2,skilled,1,yes,yes,6061,Non-Metro,726,Risk
less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,19,stores,own,1,skilled,1,none,yes,5627,Metro,711,No Risk
no_checking,25,credits_paid_to_date,radio_tv,3818,greater_1000,1_to_4,2,male,none,4,savings_insurance,36,none,rent,2,skilled,1,none,yes,4103,Metro,722,Risk
0_to_200,19,credits_paid_to_date,car_used,1897,100_to_500,unemployed,1,male,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,6383,Metro,863,No Risk
less_0,39,outstanding_credit,appliances,4131,100_to_500,1_to_4,4,male,none,4,unknown,29,bank,own,1,unskilled,1,yes,yes,7807,Metro,863,No Risk
no_checking,35,outstanding_credit,repairs,3541,greater_1000,greater_7,5,male,none,4,car_other,45,none,own,1,skilled,1,yes,yes,4049,Non-Metro,860,Risk
less_0,17,credits_paid_to_date,repairs,3861,less_100,1_to_4,3,male,none,3,real_estate,25,none,own,1,skilled,1,none,yes,3311,Metro,843,No Risk
no_checking,38,outstanding_credit,other,6086,unknown,greater_7,4,female,co-applicant,5,unknown,44,stores,rent,2,unskilled,2,yes,yes,3692,Non-Metro,706,Risk
no_checking,26,prior_payments_delayed,radio_tv,6402,100_to_500,4_to_7,4,female,none,4,unknown,52,none,free,2,skilled,1,yes,yes,5256,Metro,814,No Risk
no_checking,8,no_credits,car_new,250,less_100,1_to_4,3,female,none,3,real_estate,46,none,own,2,management_self-employed,2,none,yes,5971,Non-Metro,890,No Risk
no_checking,30,outstanding_credit,appliances,7650,500_to_1000,1_to_4,4,female,none,4,unknown,59,none,free,2,management_self-employed,2,yes,yes,4648,Non-Metro,736,Risk
no_checking,28,outstanding_credit,appliances,5990,500_to_1000,greater_7,5,male,co-applicant,3,car_other,55,none,free,2,skilled,2,yes,yes,3097,Non-Metro,726,Risk
greater_200,22,all_credits_paid_back,car_used,3376,less_100,less_1,3,female,none,2,car_other,32,none,own,1,skilled,1,none,yes,6582,Metro,843,No Risk
no_checking,39,credits_paid_to_date,vacation,6434,unknown,greater_7,5,female,none,4,car_other,39,none,own,2,skilled,2,yes,yes,3717,Metro,724,Risk
0_to_200,20,credits_paid_to_date,furniture,2442,less_100,unemployed,3,female,none,1,real_estate,42,none,own,1,skilled,1,none,yes,6768,Metro,741,No Risk
greater_200,4,all_credits_paid_back,education,4206,less_100,unemployed,1,female,none,3,savings_insurance,27,none,own,1,management_self-employed,1,none,yes,6125,Non-Metro,851,No Risk
greater_200,23,credits_paid_to_date,car_used,2963,greater_1000,greater_7,4,female,none,4,car_other,46,none,own,2,skilled,1,none,yes,4668,Non-Metro,707,Risk
no_checking,31,prior_payments_delayed,vacation,2673,500_to_1000,1_to_4,3,male,none,2,real_estate,35,stores,rent,1,skilled,2,none,yes,4211,Non-Metro,713,Risk
no_checking,37,prior_payments_delayed,other,6971,500_to_1000,1_to_4,3,male,none,3,savings_insurance,54,none,own,2,skilled,1,yes,yes,3301,Non-Metro,745,Risk
no_checking,14,all_credits_paid_back,car_new,1525,500_to_1000,4_to_7,3,male,none,4,real_estate,33,none,own,1,skilled,1,none,yes,7008,Metro,863,No Risk
less_0,10,prior_payments_delayed,furniture,4037,less_100,4_to_7,3,male,none,3,savings_insurance,31,none,rent,1,skilled,1,none,yes,4566,Metro,801,Risk
0_to_200,28,credits_paid_to_date,retraining,1152,less_100,less_1,2,female,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,5394,Metro,709,No Risk
less_0,17,credits_paid_to_date,car_new,1880,less_100,less_1,3,female,co-applicant,2,savings_insurance,41,none,own,1,skilled,1,none,yes,5317,Non-Metro,832,No Risk
0_to_200,39,prior_payments_delayed,appliances,5685,100_to_500,1_to_4,4,female,none,2,unknown,37,none,own,2,skilled,1,yes,yes,4716,Metro,723,Risk
no_checking,32,prior_payments_delayed,radio_tv,5105,500_to_1000,1_to_4,4,male,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,3925,Non-Metro,718,Risk
no_checking,38,prior_payments_delayed,appliances,4990,500_to_1000,greater_7,4,male,none,4,car_other,50,bank,own,2,unemployed,2,yes,yes,4885,Metro,724,Risk
less_0,17,credits_paid_to_date,furniture,1017,less_100,less_1,2,female,none,1,car_other,30,none,own,1,skilled,1,none,yes,5797,Non-Metro,848,No Risk
less_0,33,all_credits_paid_back,car_new,3618,500_to_1000,4_to_7,2,male,none,3,unknown,31,stores,own,2,unskilled,1,none,yes,6479,Metro,854,No Risk
less_0,12,no_credits,car_new,3037,less_100,less_1,1,female,none,2,car_other,31,stores,own,1,skilled,1,none,yes,6534,Metro,888,No Risk
no_checking,23,prior_payments_delayed,furniture,1440,100_to_500,1_to_4,3,female,none,3,real_estate,39,stores,own,1,unskilled,1,yes,yes,5502,Non-Metro,837,No Risk
less_0,18,prior_payments_delayed,retraining,4032,less_100,1_to_4,2,female,none,2,car_other,36,none,rent,1,skilled,1,none,yes,4657,Non-Metro,837,No Risk
no_checking,11,prior_payments_delayed,car_used,944,greater_1000,1_to_4,3,male,none,4,real_estate,35,none,own,1,management_self-employed,1,yes,yes,5312,Non-Metro,815,No Risk
no_checking,36,prior_payments_delayed,appliances,5927,unknown,greater_7,4,male,co-applicant,3,savings_insurance,47,none,own,2,skilled,1,none,yes,3987,Non-Metro,731,Risk
no_checking,50,outstanding_credit,other,4694,unknown,greater_7,4,female,none,4,unknown,37,none,own,1,skilled,2,yes,yes,4571,Metro,734,Risk
no_checking,32,prior_payments_delayed,radio_tv,10584,100_to_500,1_to_4,3,male,co-applicant,3,unknown,46,stores,own,2,unskilled,2,yes,yes,6734,Metro,898,No Risk
no_checking,41,prior_payments_delayed,furniture,8900,500_to_1000,4_to_7,4,male,co-applicant,3,car_other,26,none,free,2,skilled,1,yes,yes,4583,Non-Metro,862,Risk
0_to_200,14,credits_paid_to_date,car_used,1144,100_to_500,less_1,2,female,none,2,real_estate,33,none,rent,1,skilled,1,none,yes,7368,Metro,859,No Risk
no_checking,14,outstanding_credit,appliances,1680,100_to_500,greater_7,4,male,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,7557,Metro,834,No Risk
0_to_200,23,credits_paid_to_date,retraining,3387,less_100,less_1,3,female,none,3,savings_insurance,28,none,own,1,skilled,1,none,yes,3424,Metro,872,No Risk
no_checking,14,credits_paid_to_date,furniture,1269,500_to_1000,greater_7,2,male,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes,6099,Metro,818,No Risk
no_checking,36,prior_payments_delayed,appliances,9570,100_to_500,4_to_7,4,male,co-applicant,3,car_other,53,none,free,2,skilled,1,yes,yes,5053,Metro,860,No Risk
less_0,16,credits_paid_to_date,car_new,1428,less_100,4_to_7,1,male,none,1,car_other,20,bank,rent,1,unemployed,1,yes,yes,5075,Metro,868,No Risk
no_checking,24,outstanding_credit,car_used,4620,greater_1000,1_to_4,3,male,none,4,savings_insurance,40,none,own,2,skilled,1,yes,yes,5592,Metro,806,No Risk
no_checking,34,prior_payments_delayed,furniture,2196,500_to_1000,greater_7,3,male,none,4,savings_insurance,27,none,own,1,skilled,1,none,yes,6113,Metro,894,No Risk
no_checking,25,prior_payments_delayed,car_used,8708,100_to_500,1_to_4,4,male,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,7096,Non-Metro,876,No Risk
no_checking,37,outstanding_credit,radio_tv,10550,unknown,greater_7,5,male,co-applicant,4,unknown,48,stores,own,2,unemployed,2,yes,yes,4437,Metro,739,Risk
no_checking,27,prior_payments_delayed,radio_tv,4981,500_to_1000,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,management_self-employed,2,yes,yes,4412,Metro,853,No Risk
less_0,13,all_credits_paid_back,car_new,2436,less_100,less_1,2,female,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,6478,Non-Metro,871,No Risk
greater_200,25,outstanding_credit,appliances,4136,100_to_500,4_to_7,3,male,none,2,car_other,46,bank,own,1,unemployed,1,yes,yes,7579,Metro,882,No Risk
no_checking,15,credits_paid_to_date,retraining,4014,less_100,1_to_4,4,male,co-applicant,4,savings_insurance,33,none,own,1,skilled,1,yes,yes,3199,Non-Metro,703,Risk
no_checking,28,prior_payments_delayed,appliances,5440,100_to_500,4_to_7,3,female,none,2,unknown,40,none,own,2,skilled,1,yes,yes,3613,Metro,747,Risk
less_0,13,prior_payments_delayed,appliances,250,500_to_1000,4_to_7,2,male,none,3,car_other,28,stores,own,1,skilled,1,none,yes,5116,Metro,835,No Risk
less_0,19,credits_paid_to_date,furniture,2111,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,own,1,unemployed,2,none,yes,5499,Metro,813,No Risk
no_checking,27,prior_payments_delayed,appliances,6455,100_to_500,4_to_7,3,male,none,4,car_other,43,none,own,1,skilled,1,none,yes,3407,Non-Metro,703,Risk
less_0,17,credits_paid_to_date,car_used,250,less_100,4_to_7,3,female,none,2,real_estate,40,none,free,2,skilled,1,none,yes,6181,Metro,876,No Risk
no_checking,27,prior_payments_delayed,radio_tv,4521,100_to_500,less_1,4,male,none,4,savings_insurance,28,none,own,1,management_self-employed,2,yes,yes,5107,Metro,838,No Risk
no_checking,37,prior_payments_delayed,other,7945,500_to_1000,1_to_4,4,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,3151,Metro,828,No Risk
less_0,6,all_credits_paid_back,car_used,250,less_100,1_to_4,2,male,none,2,savings_insurance,28,stores,rent,1,skilled,1,none,yes,3582,Non-Metro,743,Risk
less_0,14,all_credits_paid_back,appliances,1431,less_100,unemployed,1,female,none,1,car_other,25,stores,own,1,skilled,1,none,yes,3625,Non-Metro,747,Risk
greater_200,5,credits_paid_to_date,car_used,250,less_100,4_to_7,3,male,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,6656,Non-Metro,843,No Risk
less_0,11,all_credits_paid_back,furniture,2016,less_100,less_1,1,female,none,1,car_other,34,bank,own,1,unemployed,1,none,yes,7342,Non-Metro,875,No Risk
less_0,4,credits_paid_to_date,car_new,250,less_100,unemployed,1,female,none,1,real_estate,29,none,rent,1,skilled,1,none,yes,7194,Metro,733,No Risk
0_to_200,16,prior_payments_delayed,radio_tv,1923,100_to_500,less_1,3,female,none,2,car_other,46,none,rent,1,skilled,2,none,yes,5596,Non-Metro,726,Risk
less_0,5,prior_payments_delayed,car_used,2528,less_100,1_to_4,2,male,none,2,real_estate,23,none,rent,1,skilled,1,none,yes,7266,Metro,893,No Risk
greater_200,29,prior_payments_delayed,vacation,7083,500_to_1000,4_to_7,4,female,none,4,unknown,49,none,own,2,skilled,2,yes,yes,6588,Non-Metro,724,Risk
no_checking,43,prior_payments_delayed,repairs,8886,greater_1000,greater_7,5,male,co-applicant,4,car_other,35,none,free,2,skilled,1,yes,yes,6122,Metro,720,No Risk
no_checking,24,prior_payments_delayed,radio_tv,4393,100_to_500,less_1,3,female,none,3,real_estate,41,none,own,1,management_self-employed,1,none,yes,5209,Non-Metro,866,No Risk
no_checking,32,outstanding_credit,appliances,8032,500_to_1000,1_to_4,3,male,none,3,unknown,41,none,own,1,skilled,1,none,yes,5689,Non-Metro,824,No Risk
less_0,20,credits_paid_to_date,car_used,6201,500_to_1000,4_to_7,4,male,guarantor,4,unknown,40,stores,own,2,unskilled,1,yes,yes,5150,Metro,850,No Risk
0_to_200,28,prior_payments_delayed,car_used,3952,greater_1000,greater_7,4,male,none,4,savings_insurance,36,none,own,2,skilled,1,none,yes,5563,Metro,807,No Risk
less_0,16,prior_payments_delayed,car_used,2122,less_100,1_to_4,2,male,none,3,car_other,32,none,own,2,skilled,1,none,yes,3811,Metro,841,No Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,5141,Non-Metro,827,No Risk
no_checking,29,outstanding_credit,appliances,5220,500_to_1000,greater_7,4,male,co-applicant,3,car_other,52,none,free,2,skilled,1,yes,yes,4170,Non-Metro,897,Risk
less_0,13,credits_paid_to_date,furniture,1276,500_to_1000,1_to_4,3,male,none,1,real_estate,23,none,own,1,skilled,1,none,yes,5196,Metro,843,No Risk
0_to_200,14,credits_paid_to_date,furniture,1074,less_100,4_to_7,3,male,none,2,savings_insurance,35,none,rent,1,skilled,1,none,yes,6601,Non-Metro,876,No Risk
less_0,4,all_credits_paid_back,radio_tv,250,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,7056,Metro,737,No Risk
0_to_200,16,credits_paid_to_date,vacation,2691,less_100,1_to_4,3,female,none,2,car_other,36,none,free,1,skilled,1,none,yes,4397,Non-Metro,886,No Risk
greater_200,10,credits_paid_to_date,furniture,1668,less_100,less_1,2,female,none,2,real_estate,20,none,own,1,skilled,1,none,yes,6879,Metro,728,No Risk
0_to_200,29,credits_paid_to_date,radio_tv,5536,less_100,4_to_7,3,female,none,3,unknown,52,stores,own,2,skilled,1,yes,yes,6517,Metro,850,No Risk
0_to_200,20,credits_paid_to_date,car_used,3713,less_100,less_1,3,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,5640,Metro,855,No Risk
no_checking,32,outstanding_credit,repairs,6331,unknown,greater_7,5,male,co-applicant,4,car_other,48,none,free,2,management_self-employed,2,yes,yes,3734,Non-Metro,718,Risk
less_0,7,credits_paid_to_date,vacation,250,less_100,4_to_7,3,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,7462,Metro,829,No Risk
less_0,33,credits_paid_to_date,business,2398,less_100,less_1,3,male,none,3,savings_insurance,22,none,own,1,skilled,1,none,yes,5820,Metro,843,No Risk
no_checking,37,prior_payments_delayed,other,5843,unknown,greater_7,5,male,none,3,savings_insurance,49,none,own,3,skilled,2,yes,yes,3795,Non-Metro,702,Risk
less_0,14,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,1,real_estate,30,none,own,2,skilled,1,none,yes,6929,Metro,841,No Risk
no_checking,25,prior_payments_delayed,radio_tv,7587,500_to_1000,1_to_4,4,male,none,4,car_other,38,none,own,2,management_self-employed,1,none,yes,6668,Metro,872,No Risk
0_to_200,13,prior_payments_delayed,radio_tv,2453,less_100,4_to_7,3,male,none,2,car_other,39,none,own,2,skilled,1,none,yes,5326,Metro,898,No Risk
0_to_200,4,prior_payments_delayed,car_used,357,less_100,less_1,2,female,none,2,savings_insurance,34,bank,rent,1,unskilled,1,none,yes,5895,Metro,714,No Risk
0_to_200,18,prior_payments_delayed,retraining,7506,500_to_1000,1_to_4,3,male,none,3,unknown,46,none,free,3,skilled,1,yes,yes,3117,Non-Metro,864,Risk
less_0,14,prior_payments_delayed,furniture,1697,less_100,1_to_4,3,female,none,3,car_other,19,none,own,1,skilled,1,none,yes,7003,Metro,894,No Risk
0_to_200,14,credits_paid_to_date,car_new,1939,500_to_1000,1_to_4,2,male,co-applicant,4,car_other,36,none,free,1,skilled,1,yes,yes,3753,Non-Metro,823,Risk
less_0,4,all_credits_paid_back,car_new,2783,less_100,less_1,2,female,none,1,savings_insurance,31,none,own,1,skilled,1,none,yes,5783,Metro,886,No Risk
no_checking,35,outstanding_credit,appliances,6996,unknown,greater_7,5,male,co-applicant,4,unknown,52,stores,own,2,unskilled,2,yes,yes,4817,Metro,746,Risk
no_checking,23,prior_payments_delayed,furniture,3786,greater_1000,4_to_7,4,male,guarantor,5,car_other,38,none,own,1,skilled,1,yes,yes,7984,Metro,894,No Risk
0_to_200,23,prior_payments_delayed,retraining,2964,less_100,less_1,2,male,none,3,real_estate,32,none,own,1,skilled,1,yes,yes,7672,Metro,803,No Risk
less_0,12,all_credits_paid_back,furniture,250,less_100,unemployed,2,female,none,2,savings_insurance,27,bank,rent,1,unemployed,2,yes,yes,5060,Non-Metro,888,No Risk
no_checking,25,outstanding_credit,education,5614,500_to_1000,1_to_4,4,male,none,3,car_other,45,none,own,1,management_self-employed,1,none,yes,6097,Metro,840,No Risk
less_0,4,all_credits_paid_back,vacation,2064,less_100,1_to_4,2,female,none,1,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,6432,Metro,841,No Risk
no_checking,35,prior_payments_delayed,furniture,5222,unknown,greater_7,4,male,guarantor,3,savings_insurance,53,none,free,2,skilled,2,yes,yes,6677,Non-Metro,804,No Risk
no_checking,25,credits_paid_to_date,car_used,2056,500_to_1000,4_to_7,3,male,none,4,real_estate,30,stores,own,2,skilled,1,none,yes,5352,Metro,857,No Risk
less_0,14,all_credits_paid_back,car_used,250,less_100,1_to_4,1,female,none,2,car_other,33,stores,rent,1,unskilled,1,none,yes,4624,Metro,890,No Risk
no_checking,8,credits_paid_to_date,vacation,4448,less_100,4_to_7,2,male,none,3,car_other,40,none,own,1,management_self-employed,1,yes,yes,4576,Non-Metro,734,Risk
0_to_200,24,outstanding_credit,radio_tv,3091,500_to_1000,less_1,2,male,none,3,savings_insurance,37,bank,rent,2,unskilled,2,yes,yes,5819,Metro,725,No Risk
0_to_200,11,credits_paid_to_date,vacation,3605,less_100,1_to_4,3,female,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,7479,Metro,854,No Risk
0_to_200,14,prior_payments_delayed,car_new,2609,less_100,4_to_7,4,male,none,2,savings_insurance,33,bank,rent,1,unskilled,1,yes,yes,5158,Metro,845,No Risk
no_checking,8,credits_paid_to_date,furniture,463,greater_1000,4_to_7,3,male,none,4,savings_insurance,42,none,own,2,skilled,1,yes,yes,5019,Metro,880,No Risk
greater_200,35,all_credits_paid_back,car_used,5208,less_100,4_to_7,3,male,none,2,savings_insurance,31,none,own,2,skilled,1,yes,yes,6800,Non-Metro,878,No Risk
0_to_200,16,credits_paid_to_date,furniture,1524,less_100,less_1,1,female,none,1,savings_insurance,36,stores,own,1,skilled,1,none,yes,5802,Metro,719,No Risk
0_to_200,22,credits_paid_to_date,radio_tv,2783,less_100,less_1,3,male,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,7244,Metro,870,No Risk
no_checking,16,credits_paid_to_date,repairs,6907,less_100,less_1,4,female,none,3,car_other,34,none,own,1,management_self-employed,1,yes,yes,6069,Metro,850,No Risk
less_0,16,all_credits_paid_back,car_new,250,100_to_500,less_1,1,male,none,1,savings_insurance,20,none,rent,1,skilled,1,none,yes,3646,Non-Metro,702,No Risk
less_0,15,credits_paid_to_date,furniture,250,less_100,4_to_7,2,male,none,1,savings_insurance,27,stores,own,1,skilled,1,none,yes,5257,Metro,893,No Risk
no_checking,41,outstanding_credit,retraining,6674,500_to_1000,4_to_7,5,male,none,5,savings_insurance,44,stores,free,2,unskilled,1,yes,yes,4803,Metro,839,Risk
0_to_200,26,credits_paid_to_date,radio_tv,250,less_100,4_to_7,2,male,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,7339,Metro,706,No Risk
less_0,16,prior_payments_delayed,car_new,1149,less_100,1_to_4,3,male,none,2,savings_insurance,45,none,own,2,skilled,1,yes,yes,4480,Non-Metro,714,Risk
no_checking,25,prior_payments_delayed,repairs,4183,100_to_500,1_to_4,4,female,none,2,car_other,24,none,own,1,skilled,1,none,yes,6350,Metro,897,No Risk
no_checking,40,outstanding_credit,retraining,7846,greater_1000,greater_7,4,male,guarantor,4,unknown,56,none,free,2,skilled,1,yes,yes,3721,Non-Metro,700,Risk
no_checking,13,all_credits_paid_back,furniture,778,less_100,4_to_7,2,male,none,2,savings_insurance,22,none,rent,1,skilled,1,none,yes,7682,Metro,805,No Risk
no_checking,50,outstanding_credit,appliances,7443,unknown,greater_7,4,male,co-applicant,4,unknown,56,bank,own,3,unemployed,2,yes,yes,3000,Non-Metro,710,Risk
0_to_200,25,outstanding_credit,furniture,1244,100_to_500,1_to_4,2,female,none,3,savings_insurance,40,stores,free,2,skilled,1,yes,yes,6808,Metro,866,No Risk
0_to_200,25,all_credits_paid_back,radio_tv,2429,500_to_1000,1_to_4,3,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,3458,Metro,807,No Risk
