Age,CIBIL,CheckingStatus,City,CreditHistory,CurrentResidenceDuration,Dependents,EmploymentDuration,ExistingCreditsCount,ExistingSavings,ForeignWorker,Housing,InstallmentPercent,InstallmentPlans,Job,LoanAmount,LoanDuration,LoanPurpose,OthersOnLoan,OwnsProperty,Risk,Salary,Sex,Telephone
19,854,0_to_200,Non-Metro,all_credits_paid_back,3,1,1_to_4,1,less_100,yes,rent,2,none,management_self-employed,332,4,car_new,none,real_estate,No Risk,5757,male,none
26,742,0_to_200,Metro,all_credits_paid_back,1,1,unemployed,1,less_100,yes,own,1,none,skilled,337,4,car_new,none,savings_insurance,No Risk,5741,female,yes
20,896,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,1,stores,skilled,400,4,car_new,none,savings_insurance,No Risk,5350,male,none
19,727,0_to_200,Non-Metro,all_credits_paid_back,3,1,unemployed,1,100_to_500,yes,rent,2,stores,unskilled,576,4,car_new,none,real_estate,No Risk,4844,male,none
31,859,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,100_to_500,yes,own,1,none,skilled,952,4,car_new,none,real_estate,No Risk,6162,male,none
27,812,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,100_to_500,yes,own,2,none,skilled,963,4,car_new,none,savings_insurance,No Risk,5344,female,none
20,868,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,2,bank,unskilled,982,4,car_new,none,real_estate,No Risk,5820,male,none
27,718,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,own,2,none,skilled,1395,4,car_new,none,real_estate,No Risk,5033,female,none
19,728,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,3,none,skilled,1704,4,car_new,none,car_other,No Risk,7714,female,none
38,847,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,less_100,yes,rent,2,none,management_self-employed,1711,4,car_new,none,real_estate,No Risk,5261,female,none
37,727,0_to_200,Non-Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,2,none,skilled,2228,4,car_new,co-applicant,savings_insurance,No Risk,5685,female,none
27,849,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,none,skilled,2265,4,car_new,none,savings_insurance,No Risk,6288,male,none
20,745,0_to_200,Non-Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,own,2,stores,skilled,2313,4,car_new,none,car_other,Risk,3608,female,none
19,809,0_to_200,Metro,all_credits_paid_back,4,1,4_to_7,2,100_to_500,yes,own,3,none,skilled,2813,4,car_new,none,car_other,No Risk,5062,male,none
26,708,0_to_200,Non-Metro,all_credits_paid_back,3,1,1_to_4,1,100_to_500,yes,own,1,none,skilled,3490,4,car_new,co-applicant,car_other,Risk,4892,female,none
19,700,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,3,none,management_self-employed,3840,4,car_new,none,real_estate,No Risk,5571,female,none
26,869,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,100_to_500,yes,own,2,none,skilled,250,4,car_used,none,savings_insurance,No Risk,7376,female,none
19,892,0_to_200,Metro,all_credits_paid_back,1,1,unemployed,1,100_to_500,yes,rent,1,stores,skilled,250,4,car_used,none,real_estate,No Risk,5812,male,none
22,859,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,rent,2,none,skilled,250,4,car_used,none,savings_insurance,No Risk,4210,female,none
31,841,0_to_200,Metro,all_credits_paid_back,3,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_used,none,real_estate,No Risk,4529,male,none
24,889,0_to_200,Non-Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,1,stores,skilled,250,4,car_used,none,real_estate,No Risk,6650,male,none
21,716,0_to_200,Non-Metro,all_credits_paid_back,2,1,unemployed,1,less_100,yes,rent,1,none,skilled,250,4,car_used,none,real_estate,No Risk,5722,male,none
35,878,0_to_200,Metro,all_credits_paid_back,3,1,unemployed,1,less_100,yes,own,2,none,skilled,250,4,car_used,none,real_estate,No Risk,6276,female,yes
20,735,0_to_200,Metro,all_credits_paid_back,1,1,unemployed,1,less_100,yes,rent,2,none,management_self-employed,250,4,car_used,none,real_estate,No Risk,7826,male,none
19,804,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,1,none,skilled,416,4,car_used,none,savings_insurance,No Risk,5077,female,none
19,802,0_to_200,Metro,all_credits_paid_back,3,1,unemployed,1,less_100,yes,rent,2,none,management_self-employed,1008,4,car_used,none,real_estate,No Risk,5950,female,none
28,882,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,2,none,skilled,1835,4,car_used,none,real_estate,No Risk,7133,male,none
19,867,0_to_200,Metro,all_credits_paid_back,3,2,less_1,1,100_to_500,yes,rent,1,stores,unskilled,2348,4,car_used,none,real_estate,No Risk,7799,male,none
20,855,0_to_200,Metro,all_credits_paid_back,2,1,unemployed,1,less_100,yes,own,2,none,management_self-employed,2643,4,car_used,none,real_estate,No Risk,6448,female,none
21,823,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,3,none,skilled,3562,4,car_used,none,savings_insurance,No Risk,5634,female,none
19,883,0_to_200,Non-Metro,all_credits_paid_back,1,1,4_to_7,1,100_to_500,yes,rent,2,none,skilled,250,4,education,none,real_estate,No Risk,6290,female,none
23,872,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,education,none,real_estate,No Risk,6183,male,none
24,879,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,rent,2,bank,unskilled,250,4,education,none,savings_insurance,No Risk,7676,male,none
20,715,0_to_200,Non-Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,1,none,management_self-employed,250,4,education,none,real_estate,No Risk,3774,male,none
22,873,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,1,stores,skilled,250,4,education,none,real_estate,No Risk,5540,male,none
19,809,0_to_200,Non-Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,stores,unskilled,250,4,education,none,real_estate,No Risk,6693,male,none
19,717,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,rent,3,bank,unskilled,790,4,education,none,real_estate,No Risk,5843,male,none
41,734,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,bank,unskilled,936,4,education,none,savings_insurance,No Risk,6512,male,none
21,813,0_to_200,Metro,all_credits_paid_back,2,1,less_1,2,100_to_500,yes,own,3,none,management_self-employed,3861,4,education,none,real_estate,No Risk,6777,female,none
19,867,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,rent,2,bank,unskilled,250,4,furniture,none,real_estate,No Risk,6142,female,none
22,835,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,none,management_self-employed,250,4,furniture,none,real_estate,No Risk,7165,male,none
19,800,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,less_100,yes,own,2,none,skilled,4231,4,furniture,none,real_estate,No Risk,7141,female,none
21,861,0_to_200,Non-Metro,all_credits_paid_back,2,1,1_to_4,2,100_to_500,yes,own,2,none,skilled,250,4,radio_tv,none,savings_insurance,No Risk,6107,female,none
19,723,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,none,skilled,250,4,radio_tv,none,real_estate,No Risk,5108,female,none
37,875,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,own,1,none,skilled,1061,4,radio_tv,none,savings_insurance,No Risk,5055,female,none
19,745,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,own,2,none,management_self-employed,1707,4,radio_tv,none,real_estate,No Risk,7606,female,none
19,744,0_to_200,Non-Metro,credits_paid_to_date,3,1,less_1,1,less_100,yes,rent,2,none,management_self-employed,552,4,appliances,none,real_estate,No Risk,7281,female,none
32,864,0_to_200,Metro,credits_paid_to_date,1,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,6218,female,none
28,844,0_to_200,Metro,credits_paid_to_date,3,1,1_to_4,1,less_100,yes,rent,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7952,female,none
33,872,0_to_200,Metro,credits_paid_to_date,1,1,4_to_7,1,less_100,yes,own,1,none,skilled,250,4,car_new,none,savings_insurance,No Risk,7059,male,none
39,841,0_to_200,Non-Metro,credits_paid_to_date,2,1,4_to_7,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,6411,female,none
41,863,0_to_200,Metro,credits_paid_to_date,3,1,4_to_7,1,less_100,yes,own,3,none,skilled,250,4,car_new,none,real_estate,No Risk,6730,female,yes
21,843,0_to_200,Non-Metro,credits_paid_to_date,1,1,unemployed,1,less_100,yes,rent,2,none,management_self-employed,250,4,car_new,none,real_estate,No Risk,5404,female,none
26,888,0_to_200,Metro,credits_paid_to_date,2,2,4_to_7,1,100_to_500,yes,own,2,none,skilled,951,4,car_new,none,real_estate,No Risk,7452,male,none
39,746,0_to_200,Metro,credits_paid_to_date,1,1,4_to_7,1,less_100,yes,own,2,none,skilled,1605,4,car_new,none,real_estate,No Risk,7929,male,none
28,818,0_to_200,Metro,credits_paid_to_date,3,2,1_to_4,1,500_to_1000,yes,rent,3,none,skilled,1652,4,car_new,none,savings_insurance,No Risk,6007,male,none
19,860,0_to_200,Metro,credits_paid_to_date,1,1,less_1,1,less_100,yes,rent,2,none,skilled,1850,4,car_new,none,car_other,No Risk,7922,female,none
29,809,0_to_200,Non-Metro,credits_paid_to_date,1,1,less_1,1,less_100,yes,rent,1,bank,unemployed,2761,4,car_new,none,car_other,No Risk,4479,male,none
45,722,0_to_200,Metro,credits_paid_to_date,2,1,4_to_7,1,less_100,yes,own,2,none,skilled,3185,4,car_new,none,car_other,No Risk,7530,male,yes
41,734,0_to_200,Metro,credits_paid_to_date,1,1,unemployed,2,less_100,yes,own,1,bank,unemployed,3542,4,car_new,none,car_other,No Risk,7146,female,yes
31,730,0_to_200,Non-Metro,credits_paid_to_date,1,1,4_to_7,1,500_to_1000,yes,own,2,none,skilled,250,4,car_used,none,savings_insurance,No Risk,5786,male,yes
30,742,0_to_200,Metro,credits_paid_to_date,1,1,less_1,1,less_100,yes,rent,1,none,skilled,250,4,car_used,none,savings_insurance,No Risk,5156,female,none
30,830,0_to_200,Metro,credits_paid_to_date,1,1,less_1,1,less_100,yes,own,2,none,skilled,250,4,car_used,none,savings_insurance,No Risk,6141,female,none
40,801,0_to_200,Non-Metro,credits_paid_to_date,2,1,less_1,1,less_100,no,own,2,none,skilled,389,4,car_used,co-applicant,real_estate,Risk,3967,female,yes
42,729,0_to_200,Metro,credits_paid_to_date,3,1,1_to_4,1,500_to_1000,yes,free,3,none,skilled,1052,4,car_used,co-applicant,savings_insurance,No Risk,5225,male,yes
23,875,0_to_200,Metro,credits_paid_to_date,3,2,1_to_4,2,less_100,yes,own,2,none,management_self-employed,2771,4,car_used,none,real_estate,No Risk,5224,male,yes
33,862,0_to_200,Non-Metro,credits_paid_to_date,3,1,4_to_7,2,less_100,yes,free,3,none,skilled,3713,4,car_used,none,savings_insurance,Risk,4355,female,none
28,881,0_to_200,Metro,credits_paid_to_date,3,2,less_1,1,less_100,yes,rent,2,stores,unskilled,250,4,education,none,real_estate,No Risk,6168,female,none
24,888,0_to_200,Metro,credits_paid_to_date,3,2,1_to_4,1,100_to_500,yes,rent,2,none,skilled,3511,4,education,none,real_estate,No Risk,6635,male,none
32,819,0_to_200,Metro,credits_paid_to_date,2,1,4_to_7,2,less_100,yes,free,3,none,skilled,4035,4,furniture,none,savings_insurance,No Risk,7428,female,yes
37,809,0_to_200,Non-Metro,credits_paid_to_date,3,1,1_to_4,1,100_to_500,no,own,3,none,management_self-employed,4539,4,radio_tv,none,savings_insurance,No Risk,5783,female,none
42,887,0_to_200,Metro,credits_paid_to_date,3,1,4_to_7,1,less_100,yes,own,2,none,skilled,2685,4,vacation,co-applicant,car_other,No Risk,6869,female,none
30,749,0_to_200,Metro,no_credits,2,1,unemployed,1,less_100,yes,rent,1,bank,unemployed,250,4,appliances,co-applicant,real_estate,No Risk,7018,female,none
19,828,0_to_200,Metro,no_credits,2,1,1_to_4,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,real_estate,No Risk,5534,female,none
19,881,0_to_200,Non-Metro,no_credits,2,1,less_1,1,less_100,yes,rent,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7297,male,none
23,898,0_to_200,Metro,no_credits,3,1,unemployed,1,less_100,yes,rent,2,stores,unskilled,388,4,car_new,none,real_estate,No Risk,5195,female,none
19,828,0_to_200,Metro,no_credits,3,1,unemployed,1,less_100,yes,rent,2,none,skilled,451,4,car_new,none,real_estate,No Risk,6618,female,none
19,840,0_to_200,Non-Metro,no_credits,2,1,unemployed,1,less_100,yes,rent,1,none,skilled,858,4,car_new,none,real_estate,No Risk,5045,female,none
28,876,0_to_200,Metro,no_credits,2,1,less_1,2,100_to_500,yes,own,1,none,skilled,1637,4,car_new,none,savings_insurance,No Risk,6045,female,none
39,881,0_to_200,Metro,no_credits,1,1,unemployed,2,less_100,yes,own,2,none,skilled,4488,4,car_new,none,savings_insurance,No Risk,5990,male,none
22,847,0_to_200,Metro,no_credits,2,1,less_1,1,less_100,yes,own,3,none,management_self-employed,4981,4,car_new,none,car_other,No Risk,6271,female,none
31,826,0_to_200,Non-Metro,no_credits,2,1,unemployed,1,less_100,yes,rent,1,none,skilled,250,4,education,none,real_estate,No Risk,7463,male,none
24,855,0_to_200,Metro,no_credits,2,1,less_1,1,less_100,yes,rent,1,none,skilled,250,4,repairs,none,real_estate,No Risk,5395,male,none
19,879,0_to_200,Metro,no_credits,2,1,unemployed,1,less_100,yes,rent,1,stores,skilled,250,4,repairs,none,real_estate,No Risk,7693,male,none
19,700,0_to_200,Non-Metro,no_credits,1,1,unemployed,1,less_100,yes,rent,1,none,skilled,1464,4,repairs,none,real_estate,No Risk,7945,male,none
29,822,0_to_200,Metro,prior_payments_delayed,2,1,1_to_4,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,3993,male,none
29,853,0_to_200,Metro,prior_payments_delayed,2,1,4_to_7,1,less_100,yes,own,3,none,skilled,250,4,car_new,none,savings_insurance,No Risk,7604,male,yes
41,852,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,less_100,yes,rent,1,none,skilled,250,4,car_new,none,savings_insurance,No Risk,4647,female,none
37,836,0_to_200,Metro,prior_payments_delayed,1,1,less_1,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,7699,female,yes
24,737,0_to_200,Metro,prior_payments_delayed,2,1,less_1,1,less_100,yes,own,2,none,skilled,250,4,car_new,none,real_estate,No Risk,6560,female,none
40,828,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,less_100,yes,own,1,none,skilled,567,4,car_new,none,car_other,No Risk,5342,female,none
22,884,0_to_200,Metro,prior_payments_delayed,3,1,4_to_7,1,500_to_1000,yes,rent,2,none,skilled,1216,4,car_new,none,savings_insurance,No Risk,5295,male,none
26,860,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,100_to_500,yes,rent,2,none,skilled,1233,4,car_new,none,car_other,No Risk,5602,female,none
42,706,0_to_200,Metro,prior_payments_delayed,2,1,4_to_7,1,less_100,yes,own,3,none,management_self-employed,4199,4,car_new,none,car_other,Risk,4505,male,none
34,714,0_to_200,Metro,prior_payments_delayed,2,1,less_1,1,less_100,yes,rent,2,bank,unskilled,357,4,car_used,none,savings_insurance,No Risk,5895,female,none
32,816,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,less_100,yes,own,2,none,skilled,1495,4,car_used,none,savings_insurance,No Risk,6503,female,none
29,863,0_to_200,Metro,prior_payments_delayed,3,1,less_1,2,less_100,yes,own,3,stores,unskilled,2802,4,car_used,none,savings_insurance,No Risk,5770,female,none
43,883,0_to_200,Metro,prior_payments_delayed,3,1,1_to_4,1,less_100,no,own,2,none,skilled,3365,4,car_used,co-applicant,savings_insurance,No Risk,6666,male,none
21,716,0_to_200,Metro,prior_payments_delayed,2,1,4_to_7,1,less_100,yes,own,3,none,skilled,250,4,furniture,none,savings_insurance,No Risk,5879,female,none
36,702,0_to_200,Metro,prior_payments_delayed,3,1,4_to_7,2,less_100,yes,own,3,none,skilled,510,4,furniture,none,savings_insurance,No Risk,6384,male,none
38,708,0_to_200,Non-Metro,prior_payments_delayed,2,1,4_to_7,2,500_to_1000,yes,own,3,none,skilled,2571,4,furniture,none,car_other,No Risk,7832,female,none
48,741,0_to_200,Metro,prior_payments_delayed,4,1,1_to_4,2,100_to_500,yes,free,3,none,skilled,5006,4,furniture,none,unknown,No Risk,5395,male,yes
21,840,0_to_200,Non-Metro,prior_payments_delayed,2,1,less_1,1,100_to_500,yes,rent,3,stores,unskilled,2401,4,radio_tv,none,savings_insurance,No Risk,6989,male,none
20,861,0_to_200,Metro,prior_payments_delayed,1,1,1_to_4,1,100_to_500,yes,own,2,none,skilled,302,4,retraining,none,savings_insurance,No Risk,3138,female,none
28,897,0_to_200,Metro,prior_payments_delayed,3,1,1_to_4,1,less_100,yes,rent,2,bank,unskilled,1549,4,vacation,none,real_estate,No Risk,6810,female,none
25,711,0_to_200,Metro,prior_payments_delayed,3,1,1_to_4,2,less_100,yes,own,3,none,management_self-employed,2411,4,vacation,none,savings_insurance,Risk,4690,female,yes
41,740,0_to_200,Metro,prior_payments_delayed,2,1,1_to_4,2,500_to_1000,yes,own,3,none,skilled,3497,4,vacation,co-applicant,savings_insurance,No Risk,4203,male,yes
31,897,0_to_200,Metro,all_credits_paid_back,1,1,1_to_4,1,100_to_500,yes,rent,1,stores,skilled,250,5,car_new,none,real_estate,No Risk,7923,female,none
20,833,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,100_to_500,yes,rent,2,none,skilled,250,5,car_new,none,real_estate,No Risk,7011,male,none
31,814,0_to_200,Metro,all_credits_paid_back,3,1,unemployed,1,less_100,yes,own,2,none,skilled,250,5,car_new,none,real_estate,No Risk,6828,male,none
24,880,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,own,3,none,skilled,2733,5,car_new,none,car_other,No Risk,7346,female,none
33,719,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,own,2,none,skilled,250,5,car_used,none,real_estate,No Risk,5473,female,none
19,891,0_to_200,Metro,all_credits_paid_back,2,1,unemployed,1,less_100,yes,rent,2,stores,skilled,250,5,car_used,none,real_estate,No Risk,5229,male,none
28,829,0_to_200,Metro,all_credits_paid_back,3,1,1_to_4,1,less_100,yes,own,2,none,skilled,477,5,car_used,none,real_estate,No Risk,7120,female,none
36,814,0_to_200,Metro,all_credits_paid_back,2,1,4_to_7,1,100_to_500,yes,rent,3,none,skilled,2994,5,car_used,none,real_estate,No Risk,3442,male,none
36,851,0_to_200,Metro,all_credits_paid_back,2,1,less_1,1,less_100,yes,rent,2,none,skilled,3261,5,car_used,none,real_estate,No Risk,6718,female,none
35,881,0_to_200,Metro,all_credits_paid_back,3,1,1_to_4,1,less_100,yes,own,3,stores,unskilled,4170,5,car_used,none,real_estate,No Risk,4328,female,none
31,743,0_to_200,Metro,credits_paid_to_date,2,1,1_to_4,1,500_to_1000,no,own,2,none,skilled,1509,5,car_used,none,savings_insurance,No Risk,5129,female,none
25,862,0_to_200,Metro,no_credits,3,1,unemployed,1,less_100,yes,own,1,none,skilled,4855,5,car_new,none,car_other,No Risk,5270,female,none
40,745,0_to_200,Non-Metro,prior_payments_delayed,2,1,1_to_4,1,500_to_1000,yes,own,1,stores,unskilled,1259,5,appliances,co-applicant,car_other,Risk,6428,female,yes
24,812,0_to_200,Metro,prior_payments_delayed,2,1,4_to_7,1,less_100,yes,own,3,none,skilled,250,5,car_new,none,real_estate,No Risk,5780,male,none
25,840,0_to_200,Non-Metro,prior_payments_delayed,1,2,4_to_7,1,less_100,yes,own,3,none,skilled,1152,5,car_new,none,car_other,No Risk,6970,female,none
26,838,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,less_100,yes,own,2,none,skilled,250,5,car_used,none,real_estate,No Risk,7120,female,none
41,712,0_to_200,Metro,prior_payments_delayed,2,1,less_1,1,less_100,yes,rent,1,stores,skilled,250,5,education,none,car_other,No Risk,6288,female,none
25,744,0_to_200,Metro,prior_payments_delayed,1,1,1_to_4,1,less_100,yes,rent,1,none,skilled,250,5,furniture,none,real_estate,No Risk,6891,male,yes
25,819,0_to_200,Metro,prior_payments_delayed,4,1,1_to_4,1,less_100,yes,rent,3,none,management_self-employed,1654,5,furniture,none,real_estate,No Risk,6201,male,none
37,836,0_to_200,Metro,prior_payments_delayed,3,1,less_1,1,less_100,yes,own,3,none,management_self-employed,3207,5,furniture,none,savings_insurance,No Risk,5431,female,yes
29,871,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,100_to_500,yes,rent,3,none,skilled,3403,6,car_new,none,savings_insurance,No Risk,7215,female,none
28,816,0_to_200,Metro,all_credits_paid_back,1,1,4_to_7,1,less_100,yes,own,3,none,skilled,250,6,car_used,none,savings_insurance,No Risk,5214,female,none
19,884,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,2,none,skilled,250,6,car_used,none,real_estate,No Risk,7008,male,none
27,887,0_to_200,Non-Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,own,2,none,skilled,3115,6,car_used,co-applicant,real_estate,Risk,4407,female,none
24,863,0_to_200,Non-Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,rent,3,none,skilled,250,6,education,none,real_estate,No Risk,5262,male,none
29,866,0_to_200,Metro,all_credits_paid_back,2,1,4_to_7,2,100_to_500,yes,own,3,none,skilled,2267,6,education,none,real_estate,No Risk,6545,female,none
42,703,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,1,none,skilled,250,6,furniture,none,savings_insurance,No Risk,6607,male,none
27,800,0_to_200,Non-Metro,credits_paid_to_date,3,1,1_to_4,1,less_100,yes,own,3,none,skilled,250,6,furniture,none,real_estate,No Risk,6904,female,none
48,745,0_to_200,Non-Metro,prior_payments_delayed,4,1,4_to_7,1,less_100,yes,own,3,none,skilled,3452,6,car_new,co-applicant,car_other,Risk,3965,male,none
47,864,0_to_200,Metro,prior_payments_delayed,2,1,1_to_4,2,100_to_500,yes,own,2,none,skilled,297,6,radio_tv,none,savings_insurance,No Risk,7754,male,yes
20,873,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,1,none,skilled,250,7,car_new,none,real_estate,No Risk,7990,male,none
22,880,0_to_200,Metro,all_credits_paid_back,1,1,less_1,1,less_100,yes,rent,2,none,skilled,250,7,car_new,none,real_estate,No Risk,6514,male,none
30,827,0_to_200,Metro,all_credits_paid_back,2,1,1_to_4,1,less_100,yes,rent,2,none,skilled,336,7,car_new,none,savings_insurance,No Risk,6175,female,none
20,725,0_to_200,Non-Metro,all_credits_paid_back,1,1,less_1,1,500_to_1000,yes,rent,1,bank,unemployed,1468,7,car_new,none,real_estate,No Risk,5873,male,none
25,848,0_to_200,Metro,all_credits_paid_back,3,1,less_1,1,less_100,yes,rent,2,bank,unskilled,1732,7,car_new,none,savings_insurance,No Risk,6924,female,none
28,837,0_to_200,Metro,all_credits_paid_back,2,1,less_1,2,less_100,yes,own,3,none,skilled,3091,7,car_new,none,savings_insurance,No Risk,6595,female,none
