CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk,Salary,City,CIBIL
no_checking,29,outstanding_credit,radio_tv,9276,500_to_1000,1_to_4,4,male,co-applicant,4,unknown,55,none,free,3,management_self-employed,1,yes,yes,Risk,3160,Non-Metro,729
0_to_200,4,all_credits_paid_back,car_new,268,less_100,1_to_4,2,female,none,3,real_estate,44,none,own,1,skilled,1,none,yes,No Risk,6059,Metro,734
less_0,16,credits_paid_to_date,car_new,1784,500_to_1000,unemployed,1,male,none,3,savings_insurance,27,bank,rent,1,unemployed,1,none,yes,No Risk,7299,Metro,800
0_to_200,19,credits_paid_to_date,car_used,1597,500_to_1000,4_to_7,2,female,co-applicant,3,car_other,38,stores,own,1,unskilled,1,none,yes,No Risk,3027,Metro,847
less_0,10,credits_paid_to_date,radio_tv,2801,less_100,1_to_4,1,female,none,2,car_other,35,stores,own,1,skilled,1,none,yes,No Risk,7585,Metro,899
no_checking,26,prior_payments_delayed,car_used,3377,100_to_500,1_to_4,3,female,none,3,car_other,32,none,own,1,skilled,1,yes,yes,No Risk,4703,Metro,862
0_to_200,17,credits_paid_to_date,car_used,1870,less_100,1_to_4,2,male,none,2,savings_insurance,35,none,own,1,skilled,1,none,yes,No Risk,5370,Metro,850
less_0,21,prior_payments_delayed,car_used,5055,less_100,greater_7,4,male,none,4,unknown,36,none,own,1,skilled,2,yes,yes,No Risk,6001,Metro,851
no_checking,27,outstanding_credit,furniture,4897,500_to_1000,4_to_7,4,male,none,5,car_other,45,none,own,2,management_self-employed,1,none,yes,Risk,7340,Non-Metro,729
no_checking,42,prior_payments_delayed,repairs,6016,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,54,none,free,2,management_self-employed,2,yes,yes,Risk,5099,Metro,870
less_0,12,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,real_estate,32,stores,own,1,skilled,1,none,yes,No Risk,6874,Metro,700
greater_200,9,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk,5046,Metro,852
less_0,11,credits_paid_to_date,furniture,1732,less_100,less_1,2,male,none,1,car_other,32,stores,own,1,skilled,1,none,yes,No Risk,5422,Metro,718
0_to_200,4,prior_payments_delayed,car_new,250,500_to_1000,4_to_7,3,male,none,2,car_other,43,stores,own,2,skilled,1,yes,yes,No Risk,6762,Metro,884
less_0,12,all_credits_paid_back,furniture,1892,100_to_500,less_1,2,female,none,3,savings_insurance,31,none,own,2,skilled,1,none,yes,No Risk,5934,Non-Metro,805
less_0,13,all_credits_paid_back,furniture,250,500_to_1000,4_to_7,3,male,none,1,car_other,36,none,own,2,skilled,1,none,yes,No Risk,4674,Metro,823
0_to_200,24,prior_payments_delayed,radio_tv,3395,100_to_500,4_to_7,4,male,none,2,savings_insurance,30,none,own,1,skilled,2,yes,yes,No Risk,7471,Non-Metro,744
no_checking,18,outstanding_credit,business,8893,100_to_500,greater_7,5,male,none,5,unknown,36,none,free,3,management_self-employed,1,yes,yes,Risk,4149,Non-Metro,747
no_checking,27,prior_payments_delayed,appliances,5407,100_to_500,4_to_7,4,male,none,4,car_other,41,stores,own,1,unskilled,1,none,yes,No Risk,5492,Non-Metro,878
0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk,7939,Metro,851
no_checking,50,outstanding_credit,repairs,6822,unknown,greater_7,6,male,guarantor,5,unknown,57,none,free,3,skilled,2,yes,yes,Risk,3164,Metro,881
no_checking,27,outstanding_credit,radio_tv,2560,500_to_1000,4_to_7,4,male,none,4,savings_insurance,36,stores,own,1,unskilled,1,yes,yes,No Risk,6975,Metro,862
greater_200,19,credits_paid_to_date,vacation,5214,less_100,less_1,3,male,co-applicant,4,savings_insurance,33,none,free,2,management_self-employed,1,none,no,No Risk,6015,Metro,701
no_checking,22,prior_payments_delayed,radio_tv,3003,100_to_500,greater_7,4,male,none,4,real_estate,33,none,own,2,skilled,1,yes,yes,No Risk,3681,Metro,714
no_checking,56,outstanding_credit,appliances,9151,unknown,greater_7,6,male,co-applicant,4,car_other,48,none,own,2,skilled,2,none,no,Risk,3439,Non-Metro,719
no_checking,34,outstanding_credit,furniture,4476,500_to_1000,greater_7,4,male,none,3,savings_insurance,32,stores,own,1,unskilled,1,none,yes,No Risk,5749,Metro,856
less_0,18,credits_paid_to_date,vacation,1588,500_to_1000,4_to_7,3,male,none,3,car_other,30,bank,own,1,unemployed,1,yes,yes,No Risk,7174,Non-Metro,893
no_checking,21,prior_payments_delayed,car_used,4049,100_to_500,greater_7,4,male,none,4,savings_insurance,28,none,own,1,skilled,2,yes,yes,No Risk,3370,Metro,722
less_0,24,credits_paid_to_date,car_new,3464,less_100,4_to_7,3,male,guarantor,3,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk,6599,Non-Metro,726
greater_200,4,credits_paid_to_date,car_new,250,500_to_1000,1_to_4,3,female,none,3,real_estate,22,none,own,1,skilled,1,none,yes,No Risk,4562,Metro,726
no_checking,26,outstanding_credit,furniture,7394,unknown,greater_7,4,male,co-applicant,5,car_other,50,none,own,3,skilled,2,yes,no,Risk,5896,Metro,717
0_to_200,24,outstanding_credit,appliances,1056,100_to_500,greater_7,4,male,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk,4911,Non-Metro,708
no_checking,37,prior_payments_delayed,radio_tv,5153,500_to_1000,4_to_7,4,male,none,5,car_other,49,none,own,2,management_self-employed,1,yes,yes,Risk,3320,Metro,747
less_0,10,all_credits_paid_back,car_new,1771,less_100,1_to_4,2,female,none,3,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk,5121,Metro,893
0_to_200,22,outstanding_credit,radio_tv,5876,greater_1000,greater_7,4,male,none,4,unknown,45,none,own,2,skilled,1,yes,yes,No Risk,7982,Metro,706
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,6365,Metro,710
no_checking,30,prior_payments_delayed,appliances,5614,unknown,greater_7,5,male,none,5,car_other,46,none,free,2,skilled,2,yes,yes,Risk,4498,Non-Metro,745
less_0,4,credits_paid_to_date,car_new,839,less_100,unemployed,1,female,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk,6171,Non-Metro,842
greater_200,22,outstanding_credit,appliances,4013,greater_1000,4_to_7,3,male,none,2,car_other,43,none,free,2,skilled,2,yes,yes,No Risk,6107,Metro,725
0_to_200,13,credits_paid_to_date,car_new,907,less_100,less_1,2,male,none,3,savings_insurance,28,stores,own,1,skilled,1,none,yes,No Risk,3563,Metro,877
less_0,15,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,2,male,none,3,savings_insurance,26,stores,rent,1,skilled,1,none,yes,No Risk,3594,Non-Metro,807
greater_200,9,credits_paid_to_date,furniture,297,less_100,less_1,3,female,none,2,real_estate,25,none,rent,1,management_self-employed,1,none,yes,No Risk,3340,Non-Metro,735
0_to_200,23,credits_paid_to_date,car_new,3085,less_100,less_1,3,male,none,2,savings_insurance,37,none,rent,1,skilled,1,none,yes,No Risk,5719,Metro,718
0_to_200,18,credits_paid_to_date,furniture,2572,500_to_1000,4_to_7,3,female,none,3,real_estate,29,none,rent,2,skilled,1,none,yes,No Risk,6627,Metro,818
no_checking,42,prior_payments_delayed,vacation,6531,500_to_1000,1_to_4,4,male,co-applicant,4,unknown,49,none,free,2,skilled,1,yes,yes,Risk,5395,Non-Metro,807
0_to_200,10,prior_payments_delayed,furniture,250,100_to_500,less_1,2,male,none,3,savings_insurance,29,stores,rent,1,skilled,2,none,yes,No Risk,5278,Metro,855
0_to_200,25,outstanding_credit,car_used,2585,500_to_1000,greater_7,4,male,none,3,unknown,39,none,own,2,skilled,1,yes,yes,No Risk,6864,Non-Metro,715
less_0,16,prior_payments_delayed,radio_tv,3975,500_to_1000,1_to_4,3,male,none,2,car_other,35,bank,rent,2,unemployed,1,none,yes,No Risk,6075,Non-Metro,864
less_0,41,prior_payments_delayed,furniture,4764,greater_1000,less_1,3,female,none,3,unknown,30,bank,own,2,unskilled,1,none,yes,No Risk,5491,Metro,819
no_checking,19,credits_paid_to_date,car_new,5375,100_to_500,less_1,4,female,co-applicant,3,real_estate,51,none,own,1,management_self-employed,2,yes,no,No Risk,3754,Non-Metro,828
no_checking,35,prior_payments_delayed,appliances,5478,500_to_1000,less_1,4,male,none,3,car_other,47,stores,own,2,unskilled,1,yes,yes,Risk,5935,Metro,893
0_to_200,16,credits_paid_to_date,vacation,986,less_100,less_1,3,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,3775,Metro,836
0_to_200,16,credits_paid_to_date,car_new,1230,500_to_1000,1_to_4,2,female,none,3,savings_insurance,31,stores,own,1,skilled,2,yes,yes,No Risk,3009,Metro,719
less_0,4,all_credits_paid_back,vacation,1026,less_100,1_to_4,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,4269,Metro,833
no_checking,24,prior_payments_delayed,car_used,3812,unknown,4_to_7,4,male,none,3,unknown,45,none,own,2,skilled,1,none,yes,Risk,3033,Non-Metro,815
no_checking,16,credits_paid_to_date,furniture,1530,100_to_500,1_to_4,3,male,none,4,real_estate,30,none,own,1,management_self-employed,1,none,yes,No Risk,5313,Non-Metro,819
no_checking,36,credits_paid_to_date,furniture,5024,100_to_500,greater_7,4,male,none,4,car_other,47,none,own,2,skilled,1,none,yes,Risk,5324,Non-Metro,841
no_checking,23,prior_payments_delayed,radio_tv,5214,500_to_1000,4_to_7,3,male,none,4,savings_insurance,50,none,own,1,management_self-employed,1,none,yes,No Risk,3969,Non-Metro,865
0_to_200,22,credits_paid_to_date,repairs,1883,less_100,1_to_4,3,male,none,2,savings_insurance,26,bank,rent,1,unskilled,1,none,yes,No Risk,6904,Metro,747
no_checking,32,prior_payments_delayed,appliances,2160,500_to_1000,4_to_7,3,male,none,2,car_other,37,none,own,1,skilled,1,none,yes,No Risk,7370,Non-Metro,741
less_0,9,prior_payments_delayed,vacation,7128,500_to_1000,1_to_4,3,male,none,3,car_other,32,none,own,2,management_self-employed,1,yes,yes,No Risk,7852,Non-Metro,809
less_0,4,all_credits_paid_back,repairs,250,less_100,less_1,1,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk,5334,Non-Metro,889
less_0,45,credits_paid_to_date,other,5036,less_100,less_1,3,male,none,3,savings_insurance,29,none,own,2,skilled,1,none,yes,No Risk,3657,Metro,870
less_0,12,credits_paid_to_date,furniture,250,500_to_1000,1_to_4,1,male,none,1,real_estate,23,stores,rent,1,unskilled,1,none,yes,No Risk,7882,Non-Metro,704
less_0,29,credits_paid_to_date,furniture,2370,less_100,4_to_7,2,male,none,1,unknown,31,bank,own,1,unskilled,1,yes,yes,No Risk,3187,Non-Metro,718
0_to_200,9,all_credits_paid_back,furniture,652,less_100,1_to_4,1,female,none,1,savings_insurance,35,none,own,1,skilled,1,yes,yes,No Risk,5182,Metro,849
no_checking,31,outstanding_credit,appliances,7981,greater_1000,greater_7,4,male,co-applicant,5,car_other,45,none,own,2,management_self-employed,2,none,yes,Risk,3952,Metro,862
less_0,4,prior_payments_delayed,car_used,1212,500_to_1000,4_to_7,2,male,none,1,car_other,49,none,own,1,skilled,1,none,yes,No Risk,6167,Metro,861
no_checking,34,outstanding_credit,vacation,5344,500_to_1000,greater_7,5,male,none,3,unknown,50,none,free,2,skilled,1,yes,yes,Risk,3577,Non-Metro,710
less_0,15,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,24,stores,rent,1,skilled,1,none,yes,No Risk,7137,Metro,816
less_0,11,prior_payments_delayed,furniture,3043,500_to_1000,greater_7,2,male,none,2,car_other,35,stores,own,2,skilled,1,none,no,No Risk,3150,Non-Metro,818
no_checking,38,outstanding_credit,furniture,6080,500_to_1000,4_to_7,5,male,co-applicant,5,savings_insurance,27,none,own,1,skilled,2,none,yes,Risk,3411,Non-Metro,819
0_to_200,19,prior_payments_delayed,radio_tv,3243,greater_1000,less_1,3,male,none,4,car_other,38,none,own,2,skilled,1,none,yes,No Risk,5963,Non-Metro,841
no_checking,33,credits_paid_to_date,car_used,5700,100_to_500,greater_7,3,male,none,4,car_other,46,none,own,2,skilled,2,yes,no,Risk,7161,Non-Metro,839
less_0,9,credits_paid_to_date,furniture,1552,less_100,less_1,1,male,co-applicant,2,real_estate,48,stores,rent,1,unskilled,1,yes,yes,No Risk,4085,Non-Metro,728
no_checking,12,credits_paid_to_date,furniture,2779,100_to_500,less_1,3,male,none,2,savings_insurance,25,none,own,1,skilled,1,none,yes,No Risk,5487,Metro,801
0_to_200,37,outstanding_credit,vacation,6874,unknown,greater_7,5,male,none,5,unknown,52,none,own,2,skilled,2,yes,yes,Risk,4125,Metro,874
no_checking,24,outstanding_credit,repairs,4920,unknown,greater_7,4,male,none,3,unknown,55,none,own,2,skilled,1,yes,no,Risk,3196,Non-Metro,712
less_0,26,credits_paid_to_date,furniture,2236,500_to_1000,4_to_7,2,male,none,2,car_other,40,stores,own,2,skilled,1,yes,yes,No Risk,7452,Metro,864
0_to_200,14,credits_paid_to_date,retraining,250,less_100,less_1,2,male,none,3,real_estate,21,none,own,1,skilled,1,none,yes,No Risk,4267,Non-Metro,828
no_checking,31,prior_payments_delayed,retraining,8485,100_to_500,1_to_4,4,male,none,3,savings_insurance,33,none,own,2,management_self-employed,1,yes,no,No Risk,5785,Metro,724
less_0,24,credits_paid_to_date,car_new,250,100_to_500,1_to_4,1,male,none,2,savings_insurance,19,stores,rent,1,unskilled,1,none,yes,No Risk,4037,Non-Metro,800
no_checking,38,prior_payments_delayed,furniture,5552,unknown,greater_7,4,male,co-applicant,5,savings_insurance,48,none,own,2,skilled,1,none,yes,Risk,3759,Metro,892
no_checking,27,outstanding_credit,appliances,2746,unknown,1_to_4,4,male,none,4,savings_insurance,32,none,own,2,skilled,1,none,yes,No Risk,7595,Metro,732
no_checking,33,prior_payments_delayed,radio_tv,6752,500_to_1000,1_to_4,4,male,co-applicant,4,car_other,43,none,own,1,skilled,1,none,yes,Risk,4518,Non-Metro,747
less_0,4,no_credits,appliances,250,less_100,less_1,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk,5295,Non-Metro,839
greater_200,23,credits_paid_to_date,retraining,3641,500_to_1000,4_to_7,2,female,none,2,savings_insurance,37,none,own,2,skilled,1,none,yes,No Risk,4715,Metro,722
no_checking,33,prior_payments_delayed,furniture,2830,unknown,4_to_7,4,male,none,4,savings_insurance,36,none,free,2,skilled,2,yes,yes,No Risk,6702,Non-Metro,814
0_to_200,28,outstanding_credit,vacation,3234,100_to_500,4_to_7,3,female,none,3,car_other,36,stores,own,1,skilled,1,none,yes,No Risk,3889,Metro,861
no_checking,31,prior_payments_delayed,furniture,6882,500_to_1000,4_to_7,4,male,none,5,savings_insurance,44,stores,free,2,unskilled,2,yes,yes,Risk,5957,Metro,745
0_to_200,17,no_credits,furniture,1017,less_100,1_to_4,2,female,none,1,savings_insurance,33,stores,own,1,skilled,1,none,yes,No Risk,5983,Metro,745
no_checking,31,prior_payments_delayed,appliances,3407,unknown,4_to_7,3,male,none,3,savings_insurance,42,none,own,2,skilled,1,none,yes,No Risk,7213,Metro,854
no_checking,25,outstanding_credit,education,6873,500_to_1000,4_to_7,4,male,none,4,unknown,48,none,own,2,skilled,2,yes,yes,Risk,4960,Non-Metro,833
no_checking,12,prior_payments_delayed,furniture,5402,100_to_500,less_1,2,male,none,3,savings_insurance,41,stores,own,1,unskilled,2,yes,yes,No Risk,6523,Non-Metro,833
0_to_200,30,all_credits_paid_back,car_used,5680,500_to_1000,less_1,2,male,none,3,car_other,27,none,own,2,skilled,1,none,yes,No Risk,4965,Metro,822
no_checking,14,outstanding_credit,car_new,3717,100_to_500,4_to_7,4,male,none,3,car_other,30,none,own,1,skilled,2,yes,yes,No Risk,4643,Non-Metro,823
no_checking,40,prior_payments_delayed,radio_tv,8346,100_to_500,4_to_7,5,male,co-applicant,4,savings_insurance,38,none,free,2,management_self-employed,1,none,yes,Risk,4956,Metro,824
no_checking,32,outstanding_credit,appliances,6275,500_to_1000,4_to_7,5,male,none,3,savings_insurance,40,stores,own,2,unskilled,1,yes,yes,No Risk,6872,Metro,739
0_to_200,16,no_credits,car_new,1199,less_100,less_1,1,female,none,2,real_estate,38,none,own,1,skilled,1,none,yes,No Risk,6879,Non-Metro,749
0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,unemployed,2,male,none,1,real_estate,37,none,rent,1,skilled,1,none,yes,No Risk,5508,Metro,738
less_0,10,all_credits_paid_back,car_used,5673,less_100,4_to_7,3,female,none,3,savings_insurance,30,none,own,2,skilled,2,yes,yes,No Risk,3882,Non-Metro,884
0_to_200,5,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,2,real_estate,19,none,own,1,skilled,1,yes,yes,No Risk,4088,Non-Metro,859
0_to_200,15,prior_payments_delayed,furniture,3908,500_to_1000,1_to_4,3,male,co-applicant,4,savings_insurance,45,none,free,1,skilled,1,yes,yes,No Risk,5133,Non-Metro,827
less_0,4,credits_paid_to_date,car_new,250,500_to_1000,4_to_7,1,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk,5239,Metro,725
no_checking,28,outstanding_credit,radio_tv,7311,500_to_1000,4_to_7,3,male,none,4,unknown,54,none,free,2,management_self-employed,1,yes,yes,Risk,7092,Metro,850
less_0,4,credits_paid_to_date,furniture,294,less_100,4_to_7,1,female,none,2,savings_insurance,28,bank,rent,1,unskilled,1,none,yes,No Risk,6408,Non-Metro,832
0_to_200,20,credits_paid_to_date,radio_tv,2986,500_to_1000,4_to_7,3,male,none,3,savings_insurance,34,none,own,2,skilled,1,none,yes,No Risk,3966,Metro,819
less_0,4,credits_paid_to_date,car_used,250,100_to_500,less_1,2,female,none,2,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk,4720,Non-Metro,875
0_to_200,18,no_credits,car_new,2165,100_to_500,less_1,1,female,co-applicant,1,car_other,40,stores,own,1,unskilled,1,none,yes,No Risk,6099,Non-Metro,855
less_0,4,all_credits_paid_back,repairs,250,less_100,1_to_4,2,female,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,7026,Non-Metro,730
no_checking,28,prior_payments_delayed,furniture,4794,100_to_500,1_to_4,3,male,none,3,savings_insurance,36,stores,rent,2,unskilled,1,none,yes,No Risk,7214,Metro,803
0_to_200,11,credits_paid_to_date,car_new,676,less_100,4_to_7,1,female,co-applicant,3,real_estate,19,stores,own,1,skilled,1,yes,yes,No Risk,6274,Non-Metro,834
less_0,22,prior_payments_delayed,car_used,1266,100_to_500,1_to_4,3,male,none,1,real_estate,27,bank,rent,1,unskilled,1,none,yes,No Risk,7178,Non-Metro,896
0_to_200,4,prior_payments_delayed,furniture,2672,less_100,4_to_7,2,male,none,2,car_other,34,bank,own,1,unskilled,2,yes,yes,No Risk,3784,Non-Metro,867
0_to_200,29,credits_paid_to_date,business,3256,greater_1000,less_1,2,female,none,2,car_other,31,stores,own,1,skilled,1,none,yes,No Risk,5180,Metro,716
no_checking,38,outstanding_credit,appliances,7306,greater_1000,4_to_7,5,male,co-applicant,5,unknown,48,none,own,2,management_self-employed,1,yes,yes,Risk,4459,Non-Metro,718
0_to_200,19,credits_paid_to_date,furniture,2075,less_100,less_1,2,female,none,3,real_estate,27,bank,rent,1,unskilled,1,none,yes,No Risk,7268,Non-Metro,712
no_checking,13,credits_paid_to_date,furniture,4943,less_100,4_to_7,4,male,none,4,savings_insurance,26,none,own,1,management_self-employed,1,none,yes,No Risk,6230,Metro,739
no_checking,40,outstanding_credit,radio_tv,11766,500_to_1000,greater_7,5,male,co-applicant,4,unknown,50,none,free,2,management_self-employed,2,yes,yes,Risk,4713,Metro,899
0_to_200,13,credits_paid_to_date,car_new,704,less_100,less_1,2,female,none,2,real_estate,28,none,rent,1,skilled,1,none,yes,No Risk,6448,Metro,738
no_checking,46,outstanding_credit,repairs,6625,500_to_1000,4_to_7,4,male,co-applicant,5,savings_insurance,45,none,own,1,skilled,1,none,yes,Risk,3506,Metro,737
no_checking,29,prior_payments_delayed,furniture,1777,unknown,4_to_7,2,male,none,2,savings_insurance,38,stores,rent,1,skilled,1,none,yes,No Risk,5509,Non-Metro,861
no_checking,41,prior_payments_delayed,radio_tv,5375,500_to_1000,greater_7,4,male,co-applicant,3,car_other,49,none,free,2,skilled,1,yes,yes,Risk,4201,Non-Metro,841
no_checking,40,prior_payments_delayed,repairs,4818,500_to_1000,1_to_4,4,male,none,3,savings_insurance,41,none,free,2,skilled,1,yes,yes,No Risk,4554,Metro,712
no_checking,28,prior_payments_delayed,radio_tv,6844,100_to_500,greater_7,5,male,none,5,savings_insurance,42,stores,own,2,unskilled,1,none,yes,Risk,6915,Metro,883
0_to_200,11,credits_paid_to_date,furniture,250,500_to_1000,less_1,2,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,No Risk,4652,Metro,876
less_0,7,prior_payments_delayed,furniture,2573,less_100,less_1,3,female,none,1,real_estate,28,none,own,1,management_self-employed,1,none,yes,No Risk,6430,Metro,702
no_checking,33,outstanding_credit,appliances,8013,unknown,4_to_7,5,male,co-applicant,5,unknown,42,none,own,3,skilled,2,yes,yes,Risk,7653,Metro,892
0_to_200,19,credits_paid_to_date,furniture,1876,100_to_500,1_to_4,3,female,none,3,real_estate,42,stores,own,1,unskilled,1,none,yes,No Risk,5016,Metro,803
no_checking,28,prior_payments_delayed,car_used,4123,100_to_500,1_to_4,4,female,none,3,car_other,30,none,free,1,skilled,1,yes,yes,No Risk,4404,Metro,734
no_checking,29,outstanding_credit,appliances,5287,500_to_1000,greater_7,4,male,co-applicant,3,unknown,59,stores,own,2,unskilled,2,yes,no,Risk,3361,Non-Metro,714
greater_200,25,credits_paid_to_date,radio_tv,5530,100_to_500,greater_7,3,male,guarantor,4,savings_insurance,46,none,free,2,skilled,1,yes,yes,Risk,7557,Metro,704
less_0,19,prior_payments_delayed,furniture,2908,less_100,4_to_7,4,female,none,3,car_other,48,none,own,2,skilled,1,none,yes,No Risk,5144,Metro,737
0_to_200,25,credits_paid_to_date,education,250,less_100,1_to_4,2,female,none,3,car_other,22,stores,own,1,skilled,1,none,yes,No Risk,4345,Metro,819
no_checking,42,prior_payments_delayed,appliances,5966,500_to_1000,1_to_4,4,male,guarantor,4,car_other,50,none,own,1,skilled,1,yes,yes,Risk,3143,Non-Metro,717
